id,race,age,marital_status,kids_no,school_type,maxgrade,comleted,degree,pregnancy_count,marriage_count,religion,ever_worked,work_type,weight,height,earnings
40081,white,33,married,0,college,6,True,Master,0,1,None,True,full-time,56,163,60000
32817,other,27,never married,0,college,6,True,Bachelor,0,None,protestant,True,full-time,73,165,35000
39968,white,37,never married,0,college,7,True,Master,2,None,protestant,True,full-time,70,168,2137000
27121,white,23,never married,0,college,2,False,None,0,None,catholic,True,None,91,157,5000
39492,white,33,never married,0,college,6,True,Bachelor,0,None,None,True,part-time,58,165,10000
41311,white,25,never married,0,college,5,True,Bachelor,0,None,None,True,full-time,64,160,50000
27362,other,24,never married,0,college,4,True,Bachelor,0,None,other,True,full-time,49,165,15000
36313,white,28,never married,0,college,7,True,Bachelor,0,None,None,True,None,61,175,50000
41474,white,44,informal relationship,1,school,12,True,None,1,None,catholic,True,full-time,77,160,35000
34793,white,24,never married,0,college,6,True,Master,0,None,None,True,full-time,75,175,60000
39040,other,28,never married,0,college,6,False,Master,0,None,None,False,full-time,54,165,35000
26423,other,25,never married,0,college,7,False,Master,0,None,other,False,None,52,168,30000
41544,white,34,never married,0,college,7,True,Master,0,None,catholic,True,full-time,70,168,75000
33531,white,22,never married,0,college,5,False,Bachelor,0,None,catholic,True,both,49,157,12500
40080,white,28,informal relationship,0,college,7,True,Master,0,None,None,True,both,58,170,50000
29472,white,20,never married,0,college,1,False,None,0,None,None,True,full-time,50,168,20000
37923,white,16,never married,0,school,10,False,None,0,None,catholic,False,part-time,66,173,5000
33303,white,42,married,3,college,4,True,Bachelor,4,1,catholic,True,part-time,57,168,2137000
38594,white,44,married,4,college,4,True,Bachelor,4,1,protestant,True,part-time,54,165,60000
26632,white,39,never married,0,college,6,True,Master,0,None,None,True,full-time,66,165,60000
26674,white,19,never married,0,college,1,True,None,0,None,other,False,part-time,66,170,10000
26553,white,41,married,2,school,12,True,None,5,1,catholic,True,part-time,70,168,2137000
31029,white,30,married,1,college,6,True,Bachelor,1,1,other,True,part-time,109,178,25000
27897,white,26,married,0,college,7,True,Bachelor,0,1,protestant,True,both,65,168,30000
31731,white,24,never married,0,college,5,False,None,0,None,None,True,None,49,157,5000
26472,white,27,never married,0,college,7,True,Master,0,None,None,True,full-time,66,170,75000
29230,white,30,married,0,college,4,True,Bachelor,0,1,other,True,full-time,57,160,2137000
28179,white,42,married,0,college,7,True,Master,0,1,catholic,True,part-time,47,163,30000
31787,white,43,never married,0,college,7,True,Professional,0,None,catholic,True,full-time,56,163,2137000
30712,white,25,married,0,college,5,False,Bachelor,0,1,catholic,True,both,73,178,60000
30542,white,25,informal relationship,0,college,6,False,Bachelor,0,None,None,True,full-time,49,165,60000
26964,white,34,informal relationship,4,college,1,False,None,4,1,catholic,True,None,75,168,5000
31219,white,37,informal relationship,0,college,6,True,Master,1,None,None,True,part-time,88,165,35000
